Q	H	num	q1	q2	q3	q4	n1	n2	n3	n4	η
0.0	0.0	1	0.0	0.0	0.0	0.0	85.04	0.00	0.00	0.00	0.00%
0.0	0.0	2	0.0	0.0	0.0	0.0	85.04	85.04	0.00	0.00	0.00%
0.0	0.0	3	0.0	0.0	0.0	0.0	85.04	85.04	85.04	0.00	0.00%
0.0	0.0	4	0.0	0.0	0.0	0.0	85.04	85.04	85.04	85.04	0.00%
0.0	3.0	1	0.0	0.0	0.0	0.0	86.80	0.00	0.00	0.00	0.00%
0.0	3.0	2	0.0	0.0	0.0	0.0	86.80	86.80	0.00	0.00	0.00%
0.0	3.0	3	0.0	0.0	0.0	0.0	86.80	86.80	86.80	0.00	0.00%
0.0	3.0	4	0.0	0.0	0.0	0.0	86.80	86.80	86.80	86.80	0.00%
0.0	3.5	1	0.0	0.0	0.0	0.0	88.55	0.00	0.00	0.00	0.00%
0.0	3.5	2	0.0	0.0	0.0	0.0	88.55	88.55	0.00	0.00	0.00%
0.0	3.5	3	0.0	0.0	0.0	0.0	88.55	88.55	88.55	0.00	0.00%
0.0	3.5	4	0.0	0.0	0.0	0.0	88.55	88.55	88.55	88.55	0.00%
0.0	4.0	1	0.0	0.0	0.0	0.0	90.30	0.00	0.00	0.00	0.00%
0.0	4.0	2	0.0	0.0	0.0	0.0	90.30	90.30	0.00	0.00	0.00%
0.0	4.0	3	0.0	0.0	0.0	0.0	90.30	90.30	90.30	0.00	0.00%
0.0	4.0	4	0.0	0.0	0.0	0.0	90.30	90.30	90.30	90.30	0.00%
0.0	4.5	1	0.0	0.0	0.0	0.0	92.04	0.00	0.00	0.00	0.00%
0.0	4.5	2	0.0	0.0	0.0	0.0	92.04	92.04	0.00	0.00	0.00%
0.0	4.5	3	0.0	0.0	0.0	0.0	92.04	92.04	92.04	0.00	0.00%
0.0	4.5	4	0.0	0.0	0.0	0.0	92.04	92.04	92.04	92.04	0.00%
0.0	5.0	1	0.0	0.0	0.0	0.0	93.78	0.00	0.00	0.00	0.00%
0.0	5.0	2	0.0	0.0	0.0	0.0	93.78	93.78	0.00	0.00	0.00%
0.0	5.0	3	0.0	0.0	0.0	0.0	93.78	93.78	93.78	0.00	0.00%
0.0	5.0	4	0.0	0.0	0.0	0.0	93.78	93.78	93.78	93.78	0.00%
0.0	5.5	1	0.0	0.0	0.0	0.0	95.52	0.00	0.00	0.00	0.00%
0.0	5.5	2	0.0	0.0	0.0	0.0	95.52	95.52	0.00	0.00	0.00%
0.0	5.5	3	0.0	0.0	0.0	0.0	95.52	95.52	95.52	0.00	0.00%
0.0	5.5	4	0.0	0.0	0.0	0.0	95.52	95.52	95.52	95.52	0.00%
0.0	6.0	1	0.0	0.0	0.0	0.0	97.24	0.00	0.00	0.00	0.00%
0.0	6.0	2	0.0	0.0	0.0	0.0	97.24	97.24	0.00	0.00	0.00%
0.0	6.0	3	0.0	0.0	0.0	0.0	97.24	97.24	97.24	0.00	0.00%
0.0	6.0	4	0.0	0.0	0.0	0.0	97.24	97.24	97.24	97.24	0.00%
0.0	6.5	1	0.0	0.0	0.0	0.0	98.97	0.00	0.00	0.00	0.00%
0.0	6.5	2	0.0	0.0	0.0	0.0	98.97	98.97	0.00	0.00	0.00%
0.0	6.5	3	0.0	0.0	0.0	0.0	98.97	98.97	98.97	0.00	0.00%
0.0	6.5	4	0.0	0.0	0.0	0.0	98.97	98.97	98.97	98.97	0.00%
0.0	7.0	1	0.0	0.0	0.0	0.0	100.69	0.00	0.00	0.00	0.00%
0.0	7.0	2	0.0	0.0	0.0	0.0	100.69	100.69	0.00	0.00	0.00%
0.0	7.0	3	0.0	0.0	0.0	0.0	100.69	100.69	100.69	0.00	0.00%
0.0	7.0	4	0.0	0.0	0.0	0.0	100.69	100.69	100.69	100.69	0.00%
0.0	7.5	1	0.0	0.0	0.0	0.0	102.40	0.00	0.00	0.00	0.00%
0.0	7.5	2	0.0	0.0	0.0	0.0	102.40	102.40	0.00	0.00	0.00%
0.0	7.5	3	0.0	0.0	0.0	0.0	102.40	102.40	102.40	0.00	0.00%
0.0	7.5	4	0.0	0.0	0.0	0.0	102.40	102.40	102.40	102.40	0.00%
0.0	8.0	1	0.0	0.0	0.0	0.0	104.11	0.00	0.00	0.00	0.00%
0.0	8.0	2	0.0	0.0	0.0	0.0	104.11	104.11	0.00	0.00	0.00%
0.0	8.0	3	0.0	0.0	0.0	0.0	104.11	104.11	104.11	0.00	0.00%
0.0	8.0	4	0.0	0.0	0.0	0.0	104.11	104.11	104.11	104.11	0.00%
0.0	8.5	1	0.0	0.0	0.0	0.0	105.82	0.00	0.00	0.00	0.00%
0.0	8.5	2	0.0	0.0	0.0	0.0	105.82	105.82	0.00	0.00	0.00%
0.0	8.5	3	0.0	0.0	0.0	0.0	105.82	105.82	105.82	0.00	0.00%
0.0	8.5	4	0.0	0.0	0.0	0.0	105.82	105.82	105.82	105.82	0.00%
0.0	9.0	1	0.0	0.0	0.0	0.0	107.51	0.00	0.00	0.00	0.00%
0.0	9.0	2	0.0	0.0	0.0	0.0	107.51	107.51	0.00	0.00	0.00%
0.0	9.0	3	0.0	0.0	0.0	0.0	107.51	107.51	107.51	0.00	0.00%
0.0	9.0	4	0.0	0.0	0.0	0.0	107.51	107.51	107.51	107.51	0.00%
0.0	9.5	1	0.0	0.0	0.0	0.0	109.21	0.00	0.00	0.00	0.00%
0.0	9.5	2	0.0	0.0	0.0	0.0	109.21	109.21	0.00	0.00	0.00%
0.0	9.5	3	0.0	0.0	0.0	0.0	109.21	109.21	109.21	0.00	0.00%
0.0	9.5	4	0.0	0.0	0.0	0.0	109.21	109.21	109.21	109.21	0.00%
0.0	10.0	1	0.0	0.0	0.0	0.0	110.90	0.00	0.00	0.00	0.00%
0.0	10.0	2	0.0	0.0	0.0	0.0	110.90	110.90	0.00	0.00	0.00%
0.0	10.0	3	0.0	0.0	0.0	0.0	110.90	110.90	110.90	0.00	0.00%
0.0	10.0	4	0.0	0.0	0.0	0.0	110.90	110.90	110.90	110.90	0.00%
0.0	10.5	1	0.0	0.0	0.0	0.0	112.59	0.00	0.00	0.00	0.00%
0.0	10.5	2	0.0	0.0	0.0	0.0	112.59	112.59	0.00	0.00	0.00%
0.0	10.5	3	0.0	0.0	0.0	0.0	112.59	112.59	112.59	0.00	0.00%
0.0	10.5	4	0.0	0.0	0.0	0.0	112.59	112.59	112.59	112.59	0.00%
0.0	11.0	1	0.0	0.0	0.0	0.0	114.27	0.00	0.00	0.00	0.00%
0.0	11.0	2	0.0	0.0	0.0	0.0	114.27	114.27	0.00	0.00	0.00%
0.0	11.0	3	0.0	0.0	0.0	0.0	114.27	114.27	114.27	0.00	0.00%
0.0	11.0	4	0.0	0.0	0.0	0.0	114.27	114.27	114.27	114.27	0.00%
0.0	11.5	1	0.0	0.0	0.0	0.0	115.94	0.00	0.00	0.00	0.00%
0.0	11.5	2	0.0	0.0	0.0	0.0	115.94	115.94	0.00	0.00	0.00%
0.0	11.5	3	0.0	0.0	0.0	0.0	115.94	115.94	115.94	0.00	0.00%
0.0	11.5	4	0.0	0.0	0.0	0.0	115.94	115.94	115.94	115.94	0.00%
0.0	12.0	1	0.0	0.0	0.0	0.0	117.61	0.00	0.00	0.00	0.00%
0.0	12.0	2	0.0	0.0	0.0	0.0	117.61	117.61	0.00	0.00	0.00%
0.0	12.0	3	0.0	0.0	0.0	0.0	117.61	117.61	117.61	0.00	0.00%
0.0	12.0	4	0.0	0.0	0.0	0.0	117.61	117.61	117.61	117.61	0.00%
0.0	12.5	1	0.0	0.0	0.0	0.0	119.28	0.00	0.00	0.00	0.00%
0.0	12.5	2	0.0	0.0	0.0	0.0	119.28	119.28	0.00	0.00	0.00%
0.0	12.5	3	0.0	0.0	0.0	0.0	119.28	119.28	119.28	0.00	0.00%
0.0	12.5	4	0.0	0.0	0.0	0.0	119.28	119.28	119.28	119.28	0.00%
0.0	13.0	1	0.0	0.0	0.0	0.0	120.94	0.00	0.00	0.00	0.00%
0.0	13.0	2	0.0	0.0	0.0	0.0	120.94	120.94	0.00	0.00	0.00%
0.0	13.0	3	0.0	0.0	0.0	0.0	120.94	120.94	120.94	0.00	0.00%
0.0	13.0	4	0.0	0.0	0.0	0.0	120.94	120.94	120.94	120.94	0.00%
0.0	13.5	1	0.0	0.0	0.0	0.0	122.60	0.00	0.00	0.00	0.00%
0.0	13.5	2	0.0	0.0	0.0	0.0	122.60	122.60	0.00	0.00	0.00%
0.0	13.5	3	0.0	0.0	0.0	0.0	122.60	122.60	122.60	0.00	0.00%
0.0	13.5	4	0.0	0.0	0.0	0.0	122.60	122.60	122.60	122.60	0.00%
0.0	14.0	1	0.0	0.0	0.0	0.0	124.25	0.00	0.00	0.00	0.00%
0.0	14.0	2	0.0	0.0	0.0	0.0	124.25	124.25	0.00	0.00	0.00%
0.0	14.0	3	0.0	0.0	0.0	0.0	124.25	124.25	124.25	0.00	0.00%
0.0	14.0	4	0.0	0.0	0.0	0.0	124.25	124.25	124.25	124.25	0.00%
0.0	14.5	1	0.0	0.0	0.0	0.0	125.90	0.00	0.00	0.00	0.00%
0.0	14.5	2	0.0	0.0	0.0	0.0	125.90	125.90	0.00	0.00	0.00%
0.0	14.5	3	0.0	0.0	0.0	0.0	125.90	125.90	125.90	0.00	0.00%
0.0	14.5	4	0.0	0.0	0.0	0.0	125.90	125.90	125.90	125.90	0.00%
0.0	15.0	1	0.0	0.0	0.0	0.0	127.54	0.00	0.00	0.00	0.00%
0.0	15.0	2	0.0	0.0	0.0	0.0	127.54	127.54	0.00	0.00	0.00%
0.0	15.0	3	0.0	0.0	0.0	0.0	127.54	127.54	127.54	0.00	0.00%
0.0	15.0	4	0.0	0.0	0.0	0.0	127.54	127.54	127.54	127.54	0.00%
0.0	15.5	1	0.0	0.0	0.0	0.0	129.17	0.00	0.00	0.00	0.00%
0.0	15.5	2	0.0	0.0	0.0	0.0	129.17	129.17	0.00	0.00	0.00%
0.0	15.5	3	0.0	0.0	0.0	0.0	129.17	129.17	129.17	0.00	0.00%
0.0	15.5	4	0.0	0.0	0.0	0.0	129.17	129.17	129.17	129.17	0.00%
0.0	16.0	1	0.0	0.0	0.0	0.0	130.80	0.00	0.00	0.00	0.00%
0.0	16.0	2	0.0	0.0	0.0	0.0	130.80	130.80	0.00	0.00	0.00%
0.0	16.0	3	0.0	0.0	0.0	0.0	130.80	130.80	130.80	0.00	0.00%
0.0	16.0	4	0.0	0.0	0.0	0.0	130.80	130.80	130.80	130.80	0.00%
0.0	16.5	1	0.0	0.0	0.0	0.0	132.42	0.00	0.00	0.00	0.00%
0.0	16.5	2	0.0	0.0	0.0	0.0	132.42	132.42	0.00	0.00	0.00%
0.0	16.5	3	0.0	0.0	0.0	0.0	132.42	132.42	132.42	0.00	0.00%
0.0	16.5	4	0.0	0.0	0.0	0.0	132.42	132.42	132.42	132.42	0.00%
0.0	17.0	1	0.0	0.0	0.0	0.0	134.05	0.00	0.00	0.00	0.00%
